,birth year,locPoint
74,1949.0,POINT (-73.99839279 40.7500727)
198,1973.0,POINT (-73.99839279 40.7500727)
516,1961.0,POINT (-73.99839279 40.7500727)
657,1980.0,POINT (-73.99839279 40.7500727)
695,1953.0,POINT (-73.99839279 40.7500727)
1109,1963.0,POINT (-73.99839279 40.7500727)
1459,1971.0,POINT (-73.99839279 40.7500727)
1518,1965.0,POINT (-73.99839279 40.7500727)
1543,1978.0,POINT (-73.99839279 40.7500727)
1617,1973.0,POINT (-73.99839279 40.7500727)
1736,1978.0,POINT (-73.99839279 40.7500727)
1976,1961.0,POINT (-73.99839279 40.7500727)
21,1982.0,POINT (-74.0046073 40.71273266)
100,1981.0,POINT (-74.0046073 40.71273266)
185,1981.0,POINT (-74.0046073 40.71273266)
193,1991.0,POINT (-74.0046073 40.71273266)
208,1991.0,POINT (-74.0046073 40.71273266)
348,1972.0,POINT (-74.0046073 40.71273266)
451,1970.0,POINT (-74.0046073 40.71273266)
497,1983.0,POINT (-74.0046073 40.71273266)
521,1958.0,POINT (-74.0046073 40.71273266)
653,1988.0,POINT (-74.0046073 40.71273266)
703,1986.0,POINT (-74.0046073 40.71273266)
1028,1983.0,POINT (-74.0046073 40.71273266)
1170,1957.0,POINT (-74.0046073 40.71273266)
1255,1981.0,POINT (-74.0046073 40.71273266)
1267,1989.0,POINT (-74.0046073 40.71273266)
22,1963.0,POINT (-73.96388769149779 40.77682863439968)
66,1960.0,POINT (-73.96388769149779 40.77682863439968)
168,1986.0,POINT (-73.96388769149779 40.77682863439968)
1281,1969.0,POINT (-73.96388769149779 40.77682863439968)
1819,1974.0,POINT (-73.96388769149779 40.77682863439968)
23,1970.0,POINT (-73.99266288 40.71893904)
286,1990.0,POINT (-73.99266288 40.71893904)
464,1984.0,POINT (-73.99266288 40.71893904)
850,1938.0,POINT (-73.99266288 40.71893904)
1144,1963.0,POINT (-73.99266288 40.71893904)
1318,1984.0,POINT (-73.99266288 40.71893904)
1494,1970.0,POINT (-73.99266288 40.71893904)
1503,1974.0,POINT (-73.99266288 40.71893904)
1710,1965.0,POINT (-73.99266288 40.71893904)
24,1976.0,POINT (-73.98288594 40.77748046)
25,1951.0,POINT (-73.98288594 40.77748046)
126,1988.0,POINT (-73.98288594 40.77748046)
173,1984.0,POINT (-73.98288594 40.77748046)
416,1960.0,POINT (-73.98288594 40.77748046)
1254,1976.0,POINT (-73.98288594 40.77748046)
1303,1956.0,POINT (-73.98288594 40.77748046)
1304,1957.0,POINT (-73.98288594 40.77748046)
1511,1960.0,POINT (-73.98288594 40.77748046)
1619,1975.0,POINT (-73.98288594 40.77748046)
1703,1960.0,POINT (-73.98288594 40.77748046)
1810,1956.0,POINT (-73.98288594 40.77748046)
1963,1980.0,POINT (-73.98288594 40.77748046)
24,1976.0,POINT (-73.98288594 40.77748046)
25,1951.0,POINT (-73.98288594 40.77748046)
126,1988.0,POINT (-73.98288594 40.77748046)
173,1984.0,POINT (-73.98288594 40.77748046)
416,1960.0,POINT (-73.98288594 40.77748046)
1254,1976.0,POINT (-73.98288594 40.77748046)
1303,1956.0,POINT (-73.98288594 40.77748046)
1304,1957.0,POINT (-73.98288594 40.77748046)
1511,1960.0,POINT (-73.98288594 40.77748046)
1619,1975.0,POINT (-73.98288594 40.77748046)
1703,1960.0,POINT (-73.98288594 40.77748046)
1810,1956.0,POINT (-73.98288594 40.77748046)
1963,1980.0,POINT (-73.98288594 40.77748046)
26,1966.0,POINT (-73.96175265312193 40.774405455003)
347,1978.0,POINT (-73.96175265312193 40.774405455003)
1858,1986.0,POINT (-73.96175265312193 40.774405455003)
1986,1960.0,POINT (-73.96175265312193 40.774405455003)
27,1971.0,POINT (-73.98978040999999 40.7262807)
154,1970.0,POINT (-73.98978040999999 40.7262807)
192,1962.0,POINT (-73.98978040999999 40.7262807)
202,1962.0,POINT (-73.98978040999999 40.7262807)
241,1988.0,POINT (-73.98978040999999 40.7262807)
453,1980.0,POINT (-73.98978040999999 40.7262807)
477,1992.0,POINT (-73.98978040999999 40.7262807)
697,1981.0,POINT (-73.98978040999999 40.7262807)
765,1987.0,POINT (-73.98978040999999 40.7262807)
806,1958.0,POINT (-73.98978040999999 40.7262807)
895,1962.0,POINT (-73.98978040999999 40.7262807)
996,1988.0,POINT (-73.98978040999999 40.7262807)
1035,1988.0,POINT (-73.98978040999999 40.7262807)
1636,1981.0,POINT (-73.98978040999999 40.7262807)
28,1960.0,POINT (-74.01713445 40.70834698)
671,1956.0,POINT (-74.01713445 40.70834698)
1105,1970.0,POINT (-74.01713445 40.70834698)
1312,1968.0,POINT (-74.01713445 40.70834698)
1510,1963.0,POINT (-74.01713445 40.70834698)
1724,1979.0,POINT (-74.01713445 40.70834698)
1916,1978.0,POINT (-74.01713445 40.70834698)
29,1989.0,POINT (-74.01575600000001 40.711512)
52,1988.0,POINT (-74.01575600000001 40.711512)
118,1983.0,POINT (-74.01575600000001 40.711512)
182,1961.0,POINT (-74.01575600000001 40.711512)
580,1981.0,POINT (-74.01575600000001 40.711512)
582,1984.0,POINT (-74.01575600000001 40.711512)
1306,1982.0,POINT (-74.01575600000001 40.711512)
1439,1977.0,POINT (-74.01575600000001 40.711512)
1501,1959.0,POINT (-74.01575600000001 40.711512)
1576,1951.0,POINT (-74.01575600000001 40.711512)
1998,1979.0,POINT (-74.01575600000001 40.711512)
30,1954.0,POINT (-73.9805442094803 40.73381219196632)
259,1954.0,POINT (-73.9805442094803 40.73381219196632)
876,1996.0,POINT (-73.9805442094803 40.73381219196632)
1262,1987.0,POINT (-73.9805442094803 40.73381219196632)
1352,1984.0,POINT (-73.9805442094803 40.73381219196632)
1505,1980.0,POINT (-73.9805442094803 40.73381219196632)
1589,1993.0,POINT (-73.9805442094803 40.73381219196632)
31,1962.0,POINT (-74.00722156 40.70862144)
83,1971.0,POINT (-74.00722156 40.70862144)
84,1972.0,POINT (-74.00722156 40.70862144)
1257,1971.0,POINT (-74.00722156 40.70862144)
1563,1963.0,POINT (-74.00722156 40.70862144)
32,1977.0,POINT (-73.97344190000001 40.74780373)
302,1975.0,POINT (-73.97344190000001 40.74780373)
1386,1983.0,POINT (-73.97344190000001 40.74780373)
1556,1983.0,POINT (-73.97344190000001 40.74780373)
1992,1971.0,POINT (-73.97344190000001 40.74780373)
34,1974.0,POINT (-73.98602212999999 40.74096374)
349,1988.0,POINT (-73.98602212999999 40.74096374)
436,1985.0,POINT (-73.98602212999999 40.74096374)
855,1989.0,POINT (-73.98602212999999 40.74096374)
869,1987.0,POINT (-73.98602212999999 40.74096374)
35,1990.0,POINT (-73.99510132 40.73331967)
36,1990.0,POINT (-73.99510132 40.73331967)
533,1982.0,POINT (-73.99510132 40.73331967)
567,1976.0,POINT (-73.99510132 40.73331967)
1381,1970.0,POINT (-73.99510132 40.73331967)
1517,1951.0,POINT (-73.99510132 40.73331967)
1857,1982.0,POINT (-73.99510132 40.73331967)
35,1990.0,POINT (-73.99510132 40.73331967)
36,1990.0,POINT (-73.99510132 40.73331967)
533,1982.0,POINT (-73.99510132 40.73331967)
567,1976.0,POINT (-73.99510132 40.73331967)
1381,1970.0,POINT (-73.99510132 40.73331967)
1517,1951.0,POINT (-73.99510132 40.73331967)
1857,1982.0,POINT (-73.99510132 40.73331967)
37,1982.0,POINT (-73.99093085 40.75019995)
38,1982.0,POINT (-73.99093085 40.75019995)
255,1984.0,POINT (-73.99093085 40.75019995)
256,1989.0,POINT (-73.99093085 40.75019995)
335,1955.0,POINT (-73.99093085 40.75019995)
1154,1962.0,POINT (-73.99093085 40.75019995)
1155,1972.0,POINT (-73.99093085 40.75019995)
1164,1960.0,POINT (-73.99093085 40.75019995)
1165,1965.0,POINT (-73.99093085 40.75019995)
1739,1961.0,POINT (-73.99093085 40.75019995)
37,1982.0,POINT (-73.99093085 40.75019995)
38,1982.0,POINT (-73.99093085 40.75019995)
255,1984.0,POINT (-73.99093085 40.75019995)
256,1989.0,POINT (-73.99093085 40.75019995)
335,1955.0,POINT (-73.99093085 40.75019995)
1154,1962.0,POINT (-73.99093085 40.75019995)
1155,1972.0,POINT (-73.99093085 40.75019995)
1164,1960.0,POINT (-73.99093085 40.75019995)
1165,1965.0,POINT (-73.99093085 40.75019995)
1739,1961.0,POINT (-73.99093085 40.75019995)
39,1981.0,POINT (-73.97371465000001 40.7643971)
134,1973.0,POINT (-73.97371465000001 40.7643971)
315,1953.0,POINT (-73.97371465000001 40.7643971)
317,1953.0,POINT (-73.97371465000001 40.7643971)
442,1967.0,POINT (-73.97371465000001 40.7643971)
577,1957.0,POINT (-73.97371465000001 40.7643971)
777,1952.0,POINT (-73.97371465000001 40.7643971)
920,1983.0,POINT (-73.97371465000001 40.7643971)
1183,1983.0,POINT (-73.97371465000001 40.7643971)
