,birth year,locPoint
297,1968.0,POINT (-73.95852515 40.7190095)
625,1981.0,POINT (-73.95852515 40.7190095)
673,1980.0,POINT (-73.95852515 40.7190095)
844,1980.0,POINT (-73.95852515 40.7190095)
1127,1977.0,POINT (-73.95852515 40.7190095)
300,1988.0,POINT (-73.96968902 40.68764484)
1098,1993.0,POINT (-73.96968902 40.68764484)
301,1985.0,POINT (-73.95600096 40.71774592)
368,1986.0,POINT (-73.95600096 40.71774592)
439,1986.0,POINT (-73.95600096 40.71774592)
616,1983.0,POINT (-73.95600096 40.71774592)
908,1980.0,POINT (-73.95600096 40.71774592)
919,1965.0,POINT (-73.95600096 40.71774592)
316,1991.0,POINT (-73.94791500000001 40.6900815)
318,1990.0,POINT (-73.94791500000001 40.6900815)
1836,1979.0,POINT (-73.94791500000001 40.6900815)
316,1991.0,POINT (-73.94791500000001 40.6900815)
318,1990.0,POINT (-73.94791500000001 40.6900815)
1836,1979.0,POINT (-73.94791500000001 40.6900815)
319,1976.0,POINT (-73.96223558 40.69363137)
325,1989.0,POINT (-73.944024 40.711863)
229,1975.0,POINT (-73.944507 40.715143)
326,1981.0,POINT (-73.944507 40.715143)
557,1966.0,POINT (-73.944507 40.715143)
559,1964.0,POINT (-73.944507 40.715143)
958,1981.0,POINT (-73.944507 40.715143)
1043,1987.0,POINT (-73.944507 40.715143)
328,1981.0,POINT (-73.95698118999999 40.71286844)
1277,1982.0,POINT (-73.95698118999999 40.71286844)
357,1975.0,POINT (-73.96834101 40.70827295)
363,1982.0,POINT (-73.95041540000001 40.72179134)
853,1985.0,POINT (-73.95041540000001 40.72179134)
1235,1974.0,POINT (-73.95041540000001 40.72179134)
301,1985.0,POINT (-73.95600096 40.71774592)
368,1986.0,POINT (-73.95600096 40.71774592)
439,1986.0,POINT (-73.95600096 40.71774592)
616,1983.0,POINT (-73.95600096 40.71774592)
908,1980.0,POINT (-73.95600096 40.71774592)
919,1965.0,POINT (-73.95600096 40.71774592)
257,1990.0,POINT (-73.94142771 40.67890679)
258,1989.0,POINT (-73.94142771 40.67890679)
372,1955.0,POINT (-73.94142771 40.67890679)
203,1981.0,POINT (-73.96023854000001 40.68900443)
373,1987.0,POINT (-73.96023854000001 40.68900443)
906,1973.0,POINT (-73.96023854000001 40.68900443)
1528,1986.0,POINT (-73.96023854000001 40.68900443)
380,1979.0,POINT (-73.95381995 40.69331716)
1879,1985.0,POINT (-73.95381995 40.69331716)
387,1984.0,POINT (-73.96024116 40.71534825)
403,1984.0,POINT (-73.96024116 40.71534825)
418,1985.0,POINT (-73.96024116 40.71534825)
718,1987.0,POINT (-73.96024116 40.71534825)
867,1983.0,POINT (-73.96024116 40.71534825)
138,1971.0,POINT (-73.96922273 40.68415748)
139,1982.0,POINT (-73.96922273 40.68415748)
388,1988.0,POINT (-73.96922273 40.68415748)
562,1982.0,POINT (-73.96922273 40.68415748)
929,1975.0,POINT (-73.96922273 40.68415748)
401,1985.0,POINT (-73.96264403000001 40.71260486)
597,1987.0,POINT (-73.96264403000001 40.71260486)
622,1991.0,POINT (-73.96264403000001 40.71260486)
1077,1984.0,POINT (-73.96264403000001 40.71260486)
1315,1966.0,POINT (-73.96264403000001 40.71260486)
1452,1981.0,POINT (-73.96264403000001 40.71260486)
387,1984.0,POINT (-73.96024116 40.71534825)
403,1984.0,POINT (-73.96024116 40.71534825)
418,1985.0,POINT (-73.96024116 40.71534825)
718,1987.0,POINT (-73.96024116 40.71534825)
867,1983.0,POINT (-73.96024116 40.71534825)
404,1987.0,POINT (-73.95241999999999 40.71924)
405,1988.0,POINT (-73.95241999999999 40.71924)
404,1987.0,POINT (-73.95241999999999 40.71924)
405,1988.0,POINT (-73.95241999999999 40.71924)
277,1992.0,POINT (-73.9647628 40.68851534)
407,1974.0,POINT (-73.9647628 40.68851534)
387,1984.0,POINT (-73.96024116 40.71534825)
403,1984.0,POINT (-73.96024116 40.71534825)
418,1985.0,POINT (-73.96024116 40.71534825)
718,1987.0,POINT (-73.96024116 40.71534825)
867,1983.0,POINT (-73.96024116 40.71534825)
289,1989.0,POINT (-73.964915 40.683048)
420,1984.0,POINT (-73.964915 40.683048)
1457,1977.0,POINT (-73.964915 40.683048)
1472,1986.0,POINT (-73.964915 40.683048)
174,1974.0,POINT (-73.95202900000001 40.7160751)
422,1981.0,POINT (-73.95202900000001 40.7160751)
826,1961.0,POINT (-73.95202900000001 40.7160751)
1568,1970.0,POINT (-73.95202900000001 40.7160751)
424,1968.0,POINT (-73.95141312 40.71167351)
425,1967.0,POINT (-73.95141312 40.71167351)
608,1975.0,POINT (-73.95141312 40.71167351)
1064,1988.0,POINT (-73.95141312 40.71167351)
1087,1990.0,POINT (-73.95141312 40.71167351)
424,1968.0,POINT (-73.95141312 40.71167351)
425,1967.0,POINT (-73.95141312 40.71167351)
608,1975.0,POINT (-73.95141312 40.71167351)
1064,1988.0,POINT (-73.95141312 40.71167351)
1087,1990.0,POINT (-73.95141312 40.71167351)
431,1999.0,POINT (-73.94976518999999 40.70538077)
433,1999.0,POINT (-73.94976518999999 40.70538077)
431,1999.0,POINT (-73.94976518999999 40.70538077)
433,1999.0,POINT (-73.94976518999999 40.70538077)
301,1985.0,POINT (-73.95600096 40.71774592)
368,1986.0,POINT (-73.95600096 40.71774592)
439,1986.0,POINT (-73.95600096 40.71774592)
616,1983.0,POINT (-73.95600096 40.71774592)
908,1980.0,POINT (-73.95600096 40.71774592)
919,1965.0,POINT (-73.95600096 40.71774592)
440,1985.0,POINT (-73.95212324000001 40.72311651)
830,1983.0,POINT (-73.95212324000001 40.72311651)
831,1984.0,POINT (-73.95212324000001 40.72311651)
164,1963.0,POINT (-73.99344558999999 40.69760127)
220,1979.0,POINT (-73.99344558999999 40.69760127)
441,1985.0,POINT (-73.99344558999999 40.69760127)
448,1985.0,POINT (-73.99344558999999 40.69760127)
164,1963.0,POINT (-73.99344558999999 40.69760127)
220,1979.0,POINT (-73.99344558999999 40.69760127)
441,1985.0,POINT (-73.99344558999999 40.69760127)
448,1985.0,POINT (-73.99344558999999 40.69760127)
462,1989.0,POINT (-73.95881081 40.6845683)
467,1979.0,POINT (-73.96319799999999 40.716887)
701,1987.0,POINT (-73.96319799999999 40.716887)
733,1985.0,POINT (-73.96319799999999 40.716887)
893,1983.0,POINT (-73.96319799999999 40.716887)
946,1985.0,POINT (-73.96319799999999 40.716887)
1664,1983.0,POINT (-73.96319799999999 40.716887)
1730,1979.0,POINT (-73.96319799999999 40.716887)
471,1985.0,POINT (-73.95299117 40.72708584)
763,1979.0,POINT (-73.95299117 40.72708584)
1803,1976.0,POINT (-73.95299117 40.72708584)
478,1989.0,POINT (-73.95441667 40.70691254)
614,1989.0,POINT (-73.95441667 40.70691254)
488,1960.0,POINT (-73.97711366415024 40.68515959989177)
796,1989.0,POINT (-73.97711366415024 40.68515959989177)
